Instructions,rows,CueInstructions1,CueInstructions2,PracticeDilemmas,PracticeLeftText,PracticeRightText,Reminder,ChoseNothing,ChosePlan,GroupNumber,GroupProb,Noun,sureGroupText,rows2,IntroLoop.thisRepN,IntroLoop.thisTrialN,IntroLoop.thisN,IntroLoop.thisIndex,PracticeLoop.thisRepN,PracticeLoop.thisTrialN,PracticeLoop.thisN,PracticeLoop.thisIndex,PracticeQs.thisRepN,PracticeQs.thisTrialN,PracticeQs.thisN,PracticeQs.thisIndex,practiceAs.thisRepN,practiceAs.thisTrialN,practiceAs.thisN,practiceAs.thisIndex,MainLoop.thisRepN,MainLoop.thisTrialN,MainLoop.thisN,MainLoop.thisIndex,MainQs.thisRepN,MainQs.thisTrialN,MainQs.thisN,MainQs.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,InstText.started,InstText.stopped,space.keys,space.rt,space.started,space.stopped,isi.started,isi.stopped,practiceQs.started,practiceQs.stopped,space1.keys,space1.rt,space1.started,space1.stopped,cue.started,cue.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,conBlank.started,conBlank.stopped,RemText.started,RemText.stopped,leftText.started,leftText.stopped,rightText.started,rightText.stopped,Yes.started,Yes.stopped,No.started,No.stopped,Question.started,Question.stopped,sureGroup.started,sureGroup.stopped,FeedbackVar.started,FeedbackVar.stopped,isi_2.started,isi_2.stopped,instructions2.started,instructions2.stopped,key_resp_4.keys,key_resp_4.rt,key_resp_4.started,key_resp_4.stopped,text.started,text.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.started,key_resp_3.stopped,conBlank2.started,conBlank2.stopped,RemText2.started,RemText2.stopped,leftText2.started,leftText2.stopped,rightText2.started,rightText2.stopped,yes2.started,yes2.stopped,no2.started,no2.stopped,Question2.started,Question2.stopped,text_2.started,text_2.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,000:005,EMPHASIZE,DE-EMPHASIZE,"• You are the head of a safety crew that has been alerted about a group of skydivers that is wearing defective parachutes and is currently in a freefall 

• You've arrived in time to see that a group of divers is holding onto one another and will fall to their death a few feet to your right unless your crew's trampoline is moved beneath them",Skydivers on right: 6,"Probability of 
parachute opening: 35% ","Plan: Direct your crew to the right, repositioning the trampoline and leaving the skydivers on the left to die 

Do nothing: The skydivers on the left will live, the group on the right  has a chance of surviving","The 3 skydivers on the left were saved.
 
The ","The 3 skydivers on the left died.

The 6 skydivers on the right were saved.",6,35, skydivers on the right,Skydivers on the left: 3,,,,,,0,0,0,0,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,50.03901530010626,None,,,,,,,31.9733965001069,None,y,5.9808020000346005,42.03256270010024,None,48.03737210016698,None,42.03256270010024,None,42.03256270010024,None,42.03256270010024,None,42.03256270010024,None,42.03256270010024,None,42.03256270010024,None,42.03256270010024,None,52.07312940014526,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2019_Dec_16_0906,MoralSRBinaryChoice,3.2.4,60.010645955683266,
,000:005,EMPHASIZE,DE-EMPHASIZE,"• Your crew sees a smaller group of divers apart from the rest who are much closer to reaching the ground, and instinctively moves a few feet to the left to catch them

• You know that there won't be enough time to reach the group on the right if you wait to catch the group on the left",Skydivers on right: 9,"Probability of 
parachute opening: 50% ","Plan: Direct your crew to the right, repositioning the trampoline and leaving the skydivers on the left to die 

Do nothing: The skydivers on the left will live, the group on the right  has a chance of surviving","The 4 skydivers on the left were saved.
 
The ","The 4 skydivers on the left died.

The 9 skydivers on the right were saved.",9,50, skydivers on the right,Skydivers on the left: 4,,,,,,0,0,0,0,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,61.49847389990464,None,,,,,,,,,n,1.4085820000618696,58.060710300225765,None,59.496992299798876,None,58.060710300225765,None,58.060710300225765,None,58.060710300225765,None,58.060710300225765,None,58.060710300225765,None,58.060710300225765,None,58.060710300225765,None,63.51900879992172,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2019_Dec_16_0906,MoralSRBinaryChoice,3.2.4,60.010645955683266,
,000:005,EMPHASIZE,DE-EMPHASIZE,"• If nothing is done, the safety crew will catch the divers to the left, avoiding their death, but the separate group of divers will land on the ground, causing their deaths

• You can re-direct your crew to the right, preventing the death of the group, but the divers on the left won't be caught",Skydivers on right: 5,"Probability of 
parachute opening: 50% ","Plan: Direct your crew to the right, repositioning the trampoline and leaving the skydivers on the left to die 

Do nothing: The skydivers on the left will live, the group on the right  has a chance of surviving","The 2 skydivers on the left were saved.
 
The ","The 2 skydivers on the left died.

The 5 skydivers on the right were saved.",5,50, skydivers on the right,Skydivers on the left: 2,,,,,,0,0,0,0,,,,,0,2,2,2,,,,,,,,,,,,,,,,,,,81.49853029986843,None,,,,,,,,,n,9.959692299831659,69.5096586002037,None,79.49683240009472,None,69.5096586002037,None,69.5096586002037,None,69.5096586002037,None,69.5096586002037,None,69.5096586002037,None,69.5096586002037,None,69.5096586002037,None,83.51628370024264,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2019_Dec_16_0906,MoralSRBinaryChoice,3.2.4,60.010645955683266,
,000:005,EMPHASIZE,DE-EMPHASIZE,"• You also know that there is a chance that one of the parachutes of the group will still open in time to prevent all of their deaths

• There is no chance that the parachute will open for the one diver, given how close he is to the ground",Skydivers on right: 4,"Probability of 
parachute opening: 65% ","Plan: Direct your crew to the right, repositioning the trampoline and leaving the skydivers on the left to die 

Do nothing: The skydivers on the left will live, the group on the right  has a chance of surviving","The 3 skydivers on the left were saved.
 
The ","The 3 skydivers on the left died.

The 4 skydivers on the right were saved.",4,65, skydivers on the right,Skydivers on the left: 3,,,,,,0,0,0,0,,,,,0,3,3,3,,,,,,,,,,,,,,,,,,,98.59591240016744,None,,,,,,,,,n,7.057073699776083,89.51680430024862,None,96.5940399998799,None,89.51680430024862,None,89.51680430024862,None,89.51680430024862,None,89.51680430024862,None,89.51680430024862,None,89.51680430024862,None,89.51680430024862,None,100.61418650019914,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2019_Dec_16_0906,MoralSRBinaryChoice,3.2.4,60.010645955683266,
,000:005,EMPHASIZE,DE-EMPHASIZE,"Consider each of the following scenarios and, for each one, determine what course of action you will take.",Skydivers on right: 8,"Probability of 
parachute opening: 65% ","Plan: Direct your crew to the right, repositioning the trampoline and leaving the skydivers on the left to die 

Do nothing: The skydivers on the left will live, the group on the right  has a chance of surviving","The 5 skydivers on the left were saved.
 
The ","The 5 skydivers on the left died.

The 8 skydivers on the right were saved.",8,65, skydivers on the right,Skydivers on the left: 5,,,,,,0,0,0,0,,,,,0,4,4,4,,,,,,,,,,,,,,,,,,,112.19038299983367,None,,,,,,,,,n,3.5498685999773443,106.6077164998278,None,110.18862219993025,None,106.6077164998278,None,106.6077164998278,None,106.6077164998278,None,106.6077164998278,None,106.6077164998278,None,106.6077164998278,None,106.6077164998278,None,114.20897880010307,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2019_Dec_16_0906,MoralSRBinaryChoice,3.2.4,60.010645955683266,
,000:005,EMPHASIZE,DE-EMPHASIZE,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2019_Dec_16_0906,MoralSRBinaryChoice,3.2.4,60.010645955683266,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,118.19543169997633,None,121.19787119980901,None,space,7.69543100008741,121.19787119980901,None,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2019_Dec_16_0906,MoralSRBinaryChoice,3.2.4,60.010645955683266,
,,DE-EMPHASIZE,EMPHASIZE,"• There has been an accident in the basement of an office building

• A pipe has broken and is releasing a lethal gas into the building's ventilation system",Workers in Room A: 5,Probability of escape: 35%,"Plan: Hit the button to divert the gas to Room B, killing the workers there

Do nothing: The workers in Room B will live, the workers in Room A have a chance of escaping","The 3 workers in Room B lived.

The ","The 3 workers in Room B died. 

The 5 workers in Room A were saved.",5,50, workers in Room A,Workers in Room B: 3,005:0010,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,128.9209874002263,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,130.9580020001158,None,space,1.8071741997264326,130.9580020001158,None,,,,,,,,,,,,,,,,,,,,,1,001,2019_Dec_16_0906,MoralSRBinaryChoice,3.2.4,60.010645955683266,
,,DE-EMPHASIZE,EMPHASIZE,"• If nothing is done, the gas will travel upward to Room A and cause the death of all workers there

• You are the building manager",Workers in Room A: 10,Probability of escape: 50%,"Plan: Hit the button to divert the gas to Room B, killing the workers there

Do nothing: The workers in Room B will live, the workers in Room A have a chance of escaping","The 4 workers in Room B lived.

The ","The 4 workers in Room B died. 

The 10 workers in Room A were saved.",10,35, workers in Room A,Workers in Room B: 4,005:0010,,,,,,,,,,,,,,,,,0,0,0,0,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,132.81063620001078,None,space,0.33867739979177713,132.81063620001078,None,,,,,,,,,,,,,,,,,,,,,1,001,2019_Dec_16_0906,MoralSRBinaryChoice,3.2.4,60.010645955683266,
,,DE-EMPHASIZE,EMPHASIZE,"• You know that the only way to avoid the deaths of the workers in Room A is to block the main vent immediately by hitting a button that will close one of the vent doors

• You also know that if you close the vent door the gas will be diverted into a different room, Room B, and cause the death of the workers there",Workers in Room A: 6,Probability of escape: 65%,"Plan: Hit the button to divert the gas to Room B, killing the workers there

Do nothing: The workers in Room B will live, the workers in Room A have a chance of escaping","The 4 workers in Room B lived.

The ","The 4 workers in Room B died. 

The 6 workers in Room A were saved.",6,65, workers in Room A,Workers in Room B: 4,005:0010,,,,,,,,,,,,,,,,,0,0,0,0,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,133.21713390015066,None,space,0.23648930015042424,133.21713390015066,None,,,,,,,,,,,,,,,,,,,,,1,001,2019_Dec_16_0906,MoralSRBinaryChoice,3.2.4,60.010645955683266,
,,DE-EMPHASIZE,EMPHASIZE,"• You are also aware that there is a chance that the workers in Room A will escape before the gas reaches them

• This would be impossible for the workers in Room B",Workers in Room A: 12,Probability of escape: 50%,"Plan: Hit the button to divert the gas to Room B, killing the workers there

Do nothing: The workers in Room B will live, the workers in Room A have a chance of escaping","The 6 workers in Room B lived.

The ","The 6 workers in Room B died. 

The 12 workers in Room A were saved.",12,50, workers in Room A,Workers in Room B: 6,005:0010,,,,,,,,,,,,,,,,,0,0,0,0,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,133.49405879992992,None,space,0.759424100164324,133.49405879992992,None,,,,,,,,,,,,,,,,,,,,,1,001,2019_Dec_16_0906,MoralSRBinaryChoice,3.2.4,60.010645955683266,
,,DE-EMPHASIZE,EMPHASIZE,"Consider each of the following scenarios and, for each one, determine what course of action you will take.",Workers in Room A: 5,Probability of escape: 65%,"Plan: Hit the button to divert the gas to Room B, killing the workers there

Do nothing: The workers in Room B will live, the workers in Room A have a chance of escaping","The 4 workers in Room B lived.

The ","The 4 workers in Room B died. 

The 5 workers in Room A were saved.",5,65, workers in Room A,Workers in Room B: 4,005:0010,,,,,,,,,,,,,,,,,0,0,0,0,0,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,134.28713349997997,None,space,0.7182691004127264,134.28713349997997,None,,,,,,,,,,,,,,,,,,,,,1,001,2019_Dec_16_0906,MoralSRBinaryChoice,3.2.4,60.010645955683266,
,,DE-EMPHASIZE,EMPHASIZE,"• There has been an accident in the basement of an office building

• A pipe has broken and is releasing a lethal gas into the building's ventilation system",Workers in Room A: 5,Probability of escape: 35%,"Plan: Hit the button to divert the gas to Room B, killing the workers there

Do nothing: The workers in Room B will live, the workers in Room A have a chance of escaping","The 3 workers in Room B lived.

The ","The 3 workers in Room B died. 

The 5 workers in Room A were saved.",5,50, workers in Room A,Workers in Room B: 3,005:0010,,,,,,,,,,,,,,,,,0,0,0,0,,,,,0,0,0,0,,,,,,,151.6399948000908,None,,,,,,,137.0283865001984,None,,,,,,,,,,,,,,,,,,,,,153.66122670006007,None,,,,,,,,,,,,,,,y,2.530410800129175,147.08275859989226,None,149.6379801002331,None,147.08275859989226,None,147.08275859989226,None,147.08275859989226,None,147.08275859989226,None,147.08275859989226,None,147.08275859989226,None,147.08275859989226,None,1,001,2019_Dec_16_0906,MoralSRBinaryChoice,3.2.4,60.010645955683266,
,,DE-EMPHASIZE,EMPHASIZE,"• If nothing is done, the gas will travel upward to Room A and cause the death of all workers there

• You are the building manager",Workers in Room A: 10,Probability of escape: 50%,"Plan: Hit the button to divert the gas to Room B, killing the workers there

Do nothing: The workers in Room B will live, the workers in Room A have a chance of escaping","The 4 workers in Room B lived.

The ","The 4 workers in Room B died. 

The 10 workers in Room A were saved.",10,35, workers in Room A,Workers in Room B: 4,005:0010,,,,,,,,,,,,,,,,,0,0,0,0,,,,,0,1,1,1,,,,,,,169.95488630002365,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,171.9730124999769,None,,,,,,,,,,,,,,,n,8.275516100227833,159.65811400022358,None,167.95338690001518,None,159.65811400022358,None,159.65811400022358,None,159.65811400022358,None,159.65811400022358,None,159.65811400022358,None,159.65811400022358,None,159.65811400022358,None,1,001,2019_Dec_16_0906,MoralSRBinaryChoice,3.2.4,60.010645955683266,
,,DE-EMPHASIZE,EMPHASIZE,"• You know that the only way to avoid the deaths of the workers in Room A is to block the main vent immediately by hitting a button that will close one of the vent doors

• You also know that if you close the vent door the gas will be diverted into a different room, Room B, and cause the death of the workers there",Workers in Room A: 6,Probability of escape: 65%,"Plan: Hit the button to divert the gas to Room B, killing the workers there

Do nothing: The workers in Room B will live, the workers in Room A have a chance of escaping","The 4 workers in Room B lived.

The ","The 4 workers in Room B died. 

The 6 workers in Room A were saved.",6,65, workers in Room A,Workers in Room B: 4,005:0010,,,,,,,,,,,,,,,,,0,0,0,0,,,,,0,2,2,2,,,,,,,207.9049420999363,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,209.9235038999468,None,,,,,,,,,,,,,,,y,27.919242300093174,177.9661586000584,None,205.9027030998841,None,177.9661586000584,None,177.9661586000584,None,177.9661586000584,None,177.9661586000584,None,177.9661586000584,None,177.9661586000584,None,177.9661586000584,None,1,001,2019_Dec_16_0906,MoralSRBinaryChoice,3.2.4,60.010645955683266,
